Names,Group,Group Description,,Part 1,,,Part II,Exempt
Diflunisal,,,-,-,All preparations,,,
Digitalis antitoxin,,,-,All preparations,,,,
"Digitalis, glycosides of; other active principles of digitalis",,,-,All preparations containing 1 or more B.P. unit of activity in two grammes,Preparations containing less than 1 B.P. unit of activity in two grammes,,,
Dihydrallazine; its salts,,,-,All preparations,,,,
Diloxanide; its compounds,,,-,All preparations,,,,
Diltiazem; its salts,,,-,All preparations,,,,
Dimethoxanate; its salts,,,-,-,All preparations,,,
"2, 5-Dimethoxyamphetamine (DMA) (DD)",,,-,All preparations,,,,
Dimethoxybromoamphetamine (DOB) (DD),,,-,All preparations,,,,
"2, 5-Dimethoxy-4-ethyl- amphetamine (DOET) (DD)",,,-,All preparations,,,,
"1,3-Dimethylamylamine (DMAA)",,,All preparations,,,,,
"Dimethyl-4, 4',-dimethoxy-5, 6, 5', 6’-dimethylenedioxybiphenyl-2, 2’- dicarboxylate (DDB); its derivatives",,,-,All preparations,,,,
Dimetridazole,,,All preparations,,,,,
Diminazene,,,-,-,All preparations,,,
Dinitrocresols; their salts,,,-,-,-,-,All preparations,
Dinitronaphthols,,,-,-,-,-,All preparations,
Dinitrophenols,,,-,-,-,-,All preparations,
Dinitrothymols,,,-,-,-,-,All preparations,
Diphenidol hydrochloride,,,-,-,All preparations,,,
Diprophylline; its compounds,,,-,-,All preparations,,,
Dipyridamole,,,-,-,All preparations,,,
Dipyrone,,,All preparations,,,,,
Disodium clodronate,,,-,All preparations,,,,
Disoprofol,,,-,All preparations,,,,
Disopyramide; its salts,,,-,All preparations,,,,
Distigmine; its salts,,,-,All preparations,,,,
Disulfiram,,,-,All medicinal preparations,-,Preparations other than medicinal preparations,,
"Dithienylallylamines, dithienylalkylamines; their salts",,,-,All preparations,,,,
"DMHP or 3-(1, 2-dimethylheptyl)- 1-hydroxy-7, 8, 9, 10-tetrahydro-6,",,,-,All preparations,,,,
"6, 9-trimethyl-6 H-dibenzo [b, d] pyran (DD)",,,,,,,,
"DMT or N, N-Dimethyltryptamine; its salts (DD)",,,-,All preparations,,,,
Dithranol,,,-,-,All preparations,,,
Docetaxel,,,-,All preparations,,,,
Dofetilide,,,-,All preparations,,,,
Dolasetron Mesylate,,,-,All preparations,,,,
Dolutegravir,,,-,All preparations,,,,
Domperidone,,,-,All preparations,,,,
Donepezil; its salts,,,-,All preparations,,,,
Doramectin,,,-,All preparations,,,,
Dorzolamide; its salts,,,-,All preparations,,,,
Dothiepin; its salts,,,-,All preparations,,,,
Doxapram,,,-,All preparations,,,,
Doxazosin; its salts,,,-,All preparations,,,,
Doxepin; its salts,,,-,All preparations,,,,
Doxofylline,,,-,-,All preparations,,,
Dronedarone,,,-,All preparations,,,,
Dropropizine,,,-,-,All preparations,,,
Drospirenone,,,-,-,All preparations,,,
Drotaverine; its salts,,,-,All preparations,,,,
Drotrecogin alfa (Recombinant human activated Protein C),,,-,All preparations,,,,
Duloxetine; its salts,,,-,All preparations,,,,
Dutasteride,,,-,All preparations,,,,
Dyflos,,,-,All preparations,,,,
Econazole; its salts,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Ecothiopate iodide,,,-,All preparations,,,,
Ectylurea,,,-,-,All preparations,,,
Efalizumab,,,-,All preparations,,,,
Efavirenz,,,-,All preparations,,,,
Elaterin,,,-,-,All preparations,,,
Eltrombopag,,,-,All preparations,,,,
Embutramide,,,-,-,All preparations,,,
Emepromium; its salts,,,-,-,All preparations,,,
Emtricitabine,,,-,All preparations,,,,
Emylcamate,,,-,All preparations,,,,
Enalapril; its salts,,,-,All preparations,,,,
Enflurane,,,-,All preparations,,,,
Enfurvitide,,,-,All preparations,,,,
Enphenamic acid; its salts,,,-,-,All preparations,,,
Entacapone,,,-,All preparations,,,,
Entecavir,,,-,All preparations,,,,
Eperisone; its salts,,,-,All preparations,,,,
Eplerenone,,,-,All preparations,,,,
Eptifibatide,,,-,All preparations,,,,
Eribulin Mesylate,,,-,All preparations,,,,
Erlotinib,,,-,All preparations,,,,
Ertapenem sodium,,,-,All preparations,,,,
Erythrityl tetranitrate,,,-,-,All preparations,,,
Erythropoeitin,,,-,All preparations,,,,
Escitalopram,,,-,All preparations,,,,
Esmolol; its salts,,,-,All preparations,,,,
Etanercept,,,-,All preparations,,,,
Ethacrynic acid; its salts,,,-,All preparations,,,,
Ethambutol; its salts,,,-,-,All preparations,,,
Ethamivan,,,-,-,All preparations,,,
Ethclorvynol,,,-,All preparations,,,,
Ethyl ether,,,-,All preparations for anaesthetic use,-,-,All preparations unless in Group B,
Ethinamate,,,-,All preparations,,,,
Ethionamide,,,-,-,All preparations,,,
Ethoheptazine; its salts,,,-,All preparations,,,,
Ethopropazine; its salts,,,-,All preparations,,,,
Ethosuximide,,,-,All preparations,,,,
N-Ethylamphetamine; its salts,,,-,All preparations,,,,
Ethylidene diacetate,,,-,-,-,All preparations,,
N-ethyl MDA (DD),,,-,All preparations,,,,
Eticyclidine or PCE; its salts (DD),,,-,All preparations,,,,
Etidronate disodium,,,-,All preparations,,,,
Etomidate; its salts,,,-,All preparations,,,,
Etoricoxib,,,-,All preparations,,,,
Etretinate,,,-,All preparations,,,,
Etodolac,,,-,-,All preparations,,,
Etofylline; its compounds,,,-,-,All preparations,,,
Etravirine,,,-,All preparations,,,,
Etryptamine; its salts (DD),,,-,All preparations,,,,
Everolimus,,,-,All preparations,,,,
Exemestane,,,-,All preparations,,,,
Exenatide,,,-,All preparations,,,,
Famciclovir,,,-,All preparations,,,,
Famotidine,,,-,-,All preparations,,,
Fampridine,,,-,All preparations,,,,
Fazadinium bromide,,,-,All preparations,,,,
Febantel,,,-,-,All preparations,,,
Felodipine,,,-,All preparations,,,,
Fencamfamine,,,-,All preparations,,,,
Fenetylline,,,-,All preparations,,,,
Fenfluramine; its salts,,,-,All preparations,,,,
Fenofibrate,,,-,All preparations,,,,
Fenoterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Fenoxazoline; its salts,,,-,-,All preparations,,,
Fenpiramide; its salts,,,-,-,All preparations,,,
Fenproporex,,,-,All preparations,,,,
Fentiazac,,,-,-,All preparations,,,
Fenticonazole; its salts,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Fesoteradine,,,-,All preparations,,,,
Finasteride,,,-,All preparations,,,,
Fingolimod,,,-,All preparations,,,,
Firocoxib,,,-,All preparations,,,,
Flavoxate; its salts,,,-,All preparations,,,,
Flecainide; its salts,,,-,All preparations,,,,
Floctaphenine,,,-,-,All preparations,,,
Fluanisone; its salts,,,-,All preparations,,,,
Fluconazole,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Flucytosine,,,-,All preparations,,,,
Fludarabine; its salts,,,-,All preparations,,,,
Flufenamic acid; its salts; esters and ethers; their salts,,,-,All preparations,,,,
Flumazenil,,,-,All preparations,,,,
Flunarizine; its salts,,,-,All preparations,,,,
Flunitrazepam; its salts (DD),,,All preparations,,,,,
Flunixin,,,-,All preparations,,,,
"Fluorides, alkali; organo fluorides",,,-,-,All medicinal preparations containing 3% and over,3% and over Sodium Silicofluoride or Sodium Floride unless in Group C,-,All preparations other than those in Group C or Group D
Fluorouracil and other substances structurally derived from uracil,,,-,All preparations,,,,
Fluoxetine; its salts,,,-,All preparations,,,,
Flutamide,,,-,All preparations,,,,
Flutrimazole; its salts,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Fluvastatin; its salts,,,-,All preparations,,,,
Fluvoxamine; its salts,,,-,All preparations,,,,
Fondaparinux sodium,,,-,All preparations,,,,
Formaldehyde,,,-,-,-,-,5% and over calculated as HCHO,Under 5% calculated as HCHO. Photographic glazing or hardening solution
Formestane,,,-,All preparations,,,,
Formoterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Fosaprepitant,,,-,All preparations,,,,
Foscarnet trisodium hexahydrate,,,-,All preparations,,,,
Fosinopril; its salts,,,-,All preparations,,,,
Fotemustine,,,-,All preparations,,,,
Fractionated blood products (plasma proteins obtained through a chemical manufacturing process for use on patients),,,-,All preparations,,,,
Frusemide,,,-,All preparations,,,,
Fulvestrant,,,-,All preparations,,,,
Gabapentin,,,-,All preparations,,,,
Galantamine,,,-,All preparations,,,,
Gallamine; its salts; its quarternary compounds,,,-,All preparations,,,,
Gamma Butyrolactone,,,-,-,-,-,All preparations unless exempted,When use as food additive in food
Ganciclovir,,,-,All preparations,,,,
Gangliosides; its salts,,,-,All preparations,,,,
Ganirelix,,,-,All preparations,,,,
Gefitinib,,,-,All preparations,,,,
Gemcitabine; its salts,,,-,All preparations,,,,
Gemfibrozil,,,-,All preparations,,,,
Gestrinone,,,-,All preparations,,,,
Gimeracil,,,-,All preparations,,,,
Glaphenine,,,-,-,All preparations,,,
Glibenclamide,,,-,-,All preparations,,,
Glibornuride,,,-,-,All preparations,,,
Gliclazide,,,-,-,All preparations,,,
Glimepiride,,,-,-,All preparations,,,
Glipizide,,,-,-,All preparations,,,
Gliquidone; its salts,,,-,-,All preparations,,,
Glucagon; its salts,,,-,All preparations,,,,
Glutethimide,,,-,All preparations,,,,
Glyceryl trinitrate,,,-,-,All preparations,,,
Glycopyrrolate,,,-,-,All preparations,,,
Glymidine; its salts,,,-,-,All preparations,,,
Golimumab,,,-,All preparations,,,,
Granisetron; its salts,,,-,All preparations,,,,
Griseofulvin,,,-,-,All preparations,,,
Guanethidine; its salts,,,-,All preparations,,,,
Guanfacine; its salts,,,-,All preparations,,,,
Haloperidol and other substances structurally derived from butyrophenones; their salts,,,-,All preparations,,,,
Halothane,,,-,All preparations,,,,
Hemin; its esters,,,-,All preparations,,,,
Hexacarbacholine bromide,,,-,All preparations,,,,
Hexafluoronium bromide,,,-,All preparations,,,,
Hexakis zinc,,,-,All preparations,,,,
Hexamethonium; its salts,,,-,All preparations,,,,
Hexapropymate,,,-,-,All preparations,,,
Hexobendine; its salts,,,-,-,All preparations,,,
Hydrallazine; its salts,,,-,All preparations,,,,
"Hydrazines, benzyl, phenethyl, phenoxyethyl; their alpha-methyl derivatives; acyl derivatives of any of the foregoing substances comprised in this item; salts of any compound comprised in this item",,,-,All medicinal preparations,-,,,Strengths of 0.3% or less of hydroquinone as antioxidant in hair dyes
Hydrochloric acid,,,-,-,-,-,9% and over calculated as HCl,Under 9% calculated as HCl
Hydrogen bromide,,,-,-,-,-,All preparations,Preparations ready for use as pesticides
Hydrogen cyanide; metal cyanides other than ferrocyanides and ferricyanides,,,-,-,-,All preparations unless exempted,-,Under 0.15% w/w hydrogen cyanide (HCN) or under 0.1% w/w of cyanides calculated as HCN (Registered Pesticide)
Hydrofluoric acid,,,-,-,-,-,All preparations,
Hydroquinone,,,-,-,All medicinal preparations unless in Part II or exempted,-,Preparations other than for medicinal purposes unless exempted,Cosmetic which is notified under the Control of Drugs and Cosmetics Regulations 1984 to contain arbutin and on hydrolysis may contain hydroquinone in not more than 2% w/w
Hydroxychloroquine; its salts,,,-,-,All preparations,,,
"Hydroxycinchoninic acid, derivatives of; their salts; their esters",,,-,-,All preparations,,,
"8-[N-(2-hydroxyethyl)-methyl- amino]-1, 3, 7 trimethylxanthine",,,-,-,All preparations,,,
N-hydroxy MDA (DD),,,-,All preparations,,,,
4-hydroxy-3-nitrophenylarsonic acid,,,-,-,All preparations,,,
Hydroxyphenamate,,,-,-,All preparations,,,
Hydroxyurea,,,-,All preparations,,,,
Hydroxyzine; its salts,,,-,-,All preparations,,,
Hypothalamic Hormones and their synthetic analogues,,,-,All preparations,,,,
Ibandronic Acid,,,-,All preparations,,,,
Ibuprofen and other substances structurally derived from 2-phenyl propionic acid,,,-,-,All preparations,,,
Idarubicin,,,-,All preparations,,,,
Idoxuridine,,,-,All preparations,,,,
Idrocilamide,,,-,All preparations,,,,
Iloprost,,,-,All preparations,,,,
Imatinib,,,-,All preparations,,,,
Imidapril HCl,,,-,All preparations,,,,
Imidocarb,,,-,All preparations,,,,
Imiglucerase,,,-,All preparations,,,,
Imipramine; its salts,,,-,All preparations,,,,
Imiquimod,,,-,All preparations unless in Group C,Preparations for external use.,,,
Indacaterol,,,-,All preparations,,,,
Indanazoline; its salts,,,-,-,All preparations,,,
Indapamide,,,-,All preparations,,,,
Indinavir; its salts,,,-,All preparations,,,,
Indomethacin; its salts,,,-,All preparations,,,,
Infliximab,,,-,All preparations,,,,
Inositol nicotinate,,,-,-,All preparations,,,
Insulin,,,-,-,All preparations,,,
Interferons,,,-,All preparations,,,,
Iobitriol,,,-,All preparations,,,,
Iodine,,,-,-,All medicinal preparations unless exempted,Preparations other than medicinal preparations unless exempted,-,Preparations containing less than 2%
Iomeprol,,,-,All preparations,,,,
Ipratropium; its salts,,,-,-,All preparations,,,
Iprindole; its salts,,,-,All preparations,,,,
Iproclozide,,,-,All preparations,,,,
Ipronidazole,,,All preparations,,,,,
Irbesartan,,,-,All preparations,,,,
Irinotecan; its salts,,,-,All preparations,,,,
Isoaminile; its salts,,,-,All preparations,,,,
Isocarboxazid,,,-,All preparations,,,,
Isoconazole; its salts,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Isoflurane,,,-,All preparations,,,,
Isoniazid; its salts,,,-,-,All preparations,,,
Isopropamide; its salts,,,-,-,All preparations,,,
Isosafrole,,,-,-,-,-,All preparations unless exempted,Preparations containing isosafrole as flavouring agents and perfumes
Isosorbide dinitrate,,,-,-,All preparations,,,
Isosorbide mononitrate,,,-,-,All preparations,,,
Isoxicam,,,-,-,All preparations,,,
Isotretinoin,,,-,All preparations,,,,
Isradipine,,,-,All preparations,,,,
Itopride; its salts,,,-,All preparations,,,,
Itraconazole,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Ivabradine,,,-,All preparations,,,,
Ivermectin,,,-,All preparations,,,,
Ketanserin,,,-,All preparations,,,,
Ketoconazole,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Ketorolac Tromethamine,,,-,All preparations,,,,
Ketotifen,,,-,-,All preparations,,,
Labetalol; its salts,,,-,All preparations,,,,
Lamivudine,,,-,All preparations,,,,
Lamotrigine,,,-,All preparations,,,,
Lacidipine,,,-,All preparations,,,,
Lacosamide,,,-,All preparations,,,,
Lanreotide; its salts,,,-,All preparations,,,,
Lansoprazole,,,-,All preparations,,,,
Lanthanum carbonate,,,-,All preparations for therapeutic use,,,,
Lapatinib Ditosylate,,,-,All preparations,,,,
Latanoprost,,,-,All preparations,,,,
Laudexium; its salts,,,-,All preparations,,,,
Lead acetate; compounds of lead with acids from fixed oils,,,-,-,-,All preparations unless exempted,-,Preparations containing less than 4% of lead acetate. Machine spread plaster. Medicinal preparations of herbal origin containing 10 ppm or less of lead
Lead tetraethyl,,,-,-,,Strengths over 1 in 750,-,Strengths of 1 in 750 or less
"Lefetamine or SPA or (-)-1- dimethyl-amino-1, 2- diphenylethane",,,-,All preparations,,,,
Leflunomide; its salts,,,-,All preparations,,,,
Lenograstim,,,-,All preparations,,,,
Leptazol,,,-,-,All preparations,,,
Letrozole,,,-,All preparations,,,,
Leuprolide; its salts,,,-,All preparations,,,,
Levallorphan; its salts,,,-,All preparations,,,,
Levamisole; its salts,,,-,All preparations,,,,
Levodopa,,,-,All preparations,,,,
Levodropropizine; its salts,,,-,-,All preparations,,,
Levobunolol; its salts,,,-,All preparations,,,,
Levocabastine; its salts,,,-,-,All preparations,,,
Levosimendan,,,-,All preparations,,,,
Lidoflazine,,,-,All preparations,,,,
Linagliptin,,,-,All preparations,,,,
Liraglutide,,,-,All preparations,,,,
Lisinopril,,,-,All preparations,,,,
Lithium salts for therapeutic use,,,-,All preparations unless exempted,-,-,-,Preparations containing 0.01% or less of lithium
Lixisenatide,,,-,All preparations,,,,
"Amino-alcohols esterified with benzoic acid, phenylacetic acid, phenylpropionic acid, cinnamic acid or the derivatives of these acids; their salts",Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,-,All preparations other than those in Group C.,"Preparations in the form of cartridges for dental use containing 2% or less of local anaesthetic. Preparations for topical use in the nose, eyes and ears. Suppositories and preparations for external use. Lozenges and pastilles",,,
Benzocaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Bupivacaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Butyl aminobenzoate,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Cinchocaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Diperodon,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Etidocaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Lignocaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Levobupivacaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Mepivacaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Orthocaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Oxethazaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Phenacaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Phenodianisyl,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Prilocaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Ropivacaine,Local anaesthetics,the following: their salts; their homologues and analogues; theirmolecular compounds:,"All condoms, appliances or preparations containing local anaesthetics unless Group B or Group C",All preparations in pharmaceutical dosage forms unless Group A or Group C,"All preparations in pharmaceutical dosage form for local anaesthetics, topical use in the nose, eyes and ears, suppository or external use. Lozenges and pastilles unless Group A and Group B",,,
Lofepramine,,,-,All preparations,,,,
Lodoxamide Tromethamine,,,-,-,All preparations,,,
Lomustine; its salts,,,-,All preparations,,,,
Lonazolac; its salts,,,-,-,All preparations,,,
Loperamide; its salts,,,-,-,All preparations,,,
Lopinavir,,,-,All preparations,,,,
Losartan; its salts,,,-,All preparations,,,,
Lovastatin,,,-,All preparations,,,,
Lumefantrine,,,-,All preparations,,,,
Lumiracoxib,,,,All preparations,,,,
Lung Phospholipid,,,-,All preparations,,,,
Lutropin alfa (Recombinant human luteinising),,,-,All preparations,,,,
"LSD or LSD-25 or (+)-N, N-diethyllysergamide or d-lysergic acid diethyl-amide; its derivatives (DD)",,,-,All preparations,,,,
Lysergic acid; its salts,,,-,-,-,-,All preparations,
Lysuride; its salts,,,-,All preparations,,,,
Maduramycin,,,-,All preparations,,,,
Mannitol,,,-,Product for diagnostic use which is registered under the Control of Drugs and Cosmetics Regulations 1984,-,-,-,All preparations unless in Group B
Mannityl hexanitrate,,,-,-,All preparations,,,
Mannomustine; its salts,,,-,All preparations,,,,
Maprotiline; its salts,,,-,All preparations,,,,
Maraviroc,,,-,All preparations,,,,
Mazindol,,,-,All preparations,,,,
Mebeverine; its salts,,,-,-,All preparations,,,
Mebezonium iodide,,,-,-,All preparations,,,
Mebutamate,,,-,-,All preparations,,,
Meclofenoxate; its salts,,,-,All preparations unless exempted,-,-,-,Preparations for horticultural use
Mecloqualone,,,-,All preparations,,,,
Mefenamic acid; its salts; its esters; their salts,,,-,-,All preparations,,,
Mefenorex,,,-,All preparations,,,,
Mefloquine; its salts,,,-,All preparations,,,,
Megestrol Acetate,,,-,All preparations,,,,
Meglumine; its salts,,,-,All preparations,,,,
Melagatran; its salts,,,-,All preparations,,,,
Melarsomine,,,-,All preparations,,,,
Melatonin,,,-,-,All preparations,,,
Meloxicam,,,-,-,All preparations,,,
Memantine,,,-,All preparations,,,,
Mephenesin; its esters,,,-,All preparations,,,,
Meprobamate,,,-,All preparations,,,,
Meptazinol; its salts,,,-,All preparations,,,,
Mercaptopurine and other substances structurally derived therefrom; their salts,,,-,All preparations,,,,
Mercury,,,-,-,-,All preparations unless exempted,-,"(1) Cosmetic which is notified under the Control of Drugs and Cosmetics Regulation 1984 [P.U.(A)223/1984] containing not more than 1 part per million of mercury calculated as the metal;
(2) Product which is registered under the Control of Drugs and Cosmetics Regulations 1984 [P.U.(A)223/1984] containing not more than 0.5 part per million of mercury calculated as the metal"
Mesalazine,,,-,All preparations,,,,
"Mescaline or 3, 4, 5- trimethoxyphenethylamine; its salts (DD)",,,-,All preparations unless exempted,-,-,-,Living plants
Mesocarb,,,-,All preparations,,,,
Metahexamide,,,-,-,All preparations,,,
Metaxalone,,,-,All preparations,,,,
Metergoline,,,-,All preparations,,,,
Metformin,,,-,-,All preparations,,,
Methacholine; its salts,,,-,All preparations,,,,
Methamphetamine; its salts (DD),,,-,All preparations,,,,
Methantheline; its salts,,,-,-,All preparations,,,
Methaqualone,,,-,All preparations,,,,
Methcathinone; its salts (DD),,,-,All preparations,,,,
Methimazole; its salts,,,-,All preparations,,,,
Methisazone,,,-,All preparations,,,,
Methisoprinol,,,-,-,All preparations,,,
Methixene; its salts,,,-,All preparations,,,,
Methocarbamol,,,-,All preparations,,,,
Methotrexate; its salts,,,-,All preparations,,,,
Methoxsalen,,,-,All preparations,,,,
10-Methoxydeserpidine,,,-,All preparations,,,,
"5-Methoxy-3, 4 methylenedioxyamphetamine (MMDA) (DD)",,,-,All preparations,,,,
"3,4-methylenedioxy phenyl-2- propanone",,,-,-,-,-,All preparations,
4-Methylaminorex (DD),,,-,All preparations,,,,
Methyl bromide,,,-,-,-,All preparations,,Registered pesticides
Methyldopa,,,-,All preparations,,,,
Methylenedioxyamphetamine (MDA) (DD),,,-,All preparations,,,,
"3,4-Methylenedioxy- methamphetamine (MDMA)(DD)",,,-,All preparations,,,,
N-Methylephedrine camsylate,,,-,All preparations,,,,
"N-methyl-1-(3, 4-methylenedioxyphenyl)-2-butanamine (DD)",,,-,All preparations,,,,
Methylpentynol; its esters and other derivatives; their salts,,,-,-,All preparations,,,
Methylphenidate; its salts,,,-,All preparations,,,,
Methyprylone,,,-,All preparations,,,,
Metipranolol,,,-,All preparations,,,,
Metoclopramide; its salts,,,-,All preparations,,,,
Metolazone,,,-,All preparations,,,,
Metoprolol; its salts,,,-,All preparations,,,,
Metronidazole,,,All preparations unless Group B,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,,
Metyrapone; its salts,,,-,All preparations,,,,
Mexiletine; its salts,,,-,All preparations,,,,
Mianserin; its salts,,,-,All preparations,,,,
Micafungin sodium,,,-,All preparations,,,,
Miconazole; its salts,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Miglitol,,,-,-,All preparations,,,
Milnacipran,,,-,All preparations,,,,
Milrinone,,,-,All preparations,-,,,
Miltefosine,,,-,All preparations,,,,
Minoxidil; its salts; its derivatives,,,-,All preparations unless in Group C,Preparations for external use containing not more than 5% of Minoxidil; its salts; its derivatives,,,
Mipomersen sodium,,,-,All preparations,,,,
Mirabegron,,,-,All preparations,,,,
Mirtazapine,,,-,All preparations,,,,
Mitiglinide,,,-,All preparations,,,,
Mitopodozide; its salts,,,-,All preparations,,,,
Mitoxantrone; its salts,,,-,All preparations,,,,
Mivacurium; its salts,,,-,All preparations,,,,
Moclobemide,,,-,All preparations,,,,
Mofebutazone,,,-,All preparations,,,,
Molsidomin,,,-,-,All preparations,,,
Monensin,,,-,All preparations,,,,
Montelukast,,,-,-,All preparations,,,
Morantel Tartrate,,,-,All preparations,,,,
Moroxydine; its salts,,,-,All preparations,,,,
Mosapride,,,-,All preparations,,,,
Moxidectin,,,-,All preparations,,,,
Moxonidine,,,-,All preparations,,,,
Mustine and other substances structurally derived therefrom; their salts,,,-,All preparations,,,,
Mycophenolic acid,,,-,All preparations,,,,
Nabumetone,,,-,All preparations,,,,
Nadolol,,,-,All preparations,,,,
Naftidrofuryl acid oxalate,,,-,All preparations,,,,
Nalbuphine; its salts,,,-,All preparations,,,,
Nalidixic acid and other substances structurally derived therefrom; its salts,,,-,All preparations,,,,
Nalorphine; its salts,,,-,All preparations,,,,
Naloxone; its salts,,,-,All preparations,,,,
Naltrexone; its salts,,,-,All preparations,,,,
Naphazoline; its salts,,,-,-,All preparations,,,
Naproxen; its salts,,,-,-,All preparations,,,
Naratriptan; its salts,,,-,All preparations,,,,
